Plot ,Treatment,Time point,Algal taxa,Points,Points within dead coral,Total points
19,Removal,2020,Lobophora,41,23,821
19,Removal,2020,Asparagopsis,0,0,821
19,Removal,2020,Turbinaria,0,0,821
19,Removal,2020,Halimeda,0,0,821
19,Removal,2022,Lobophora,36,30,821
19,Removal,2022,Asparagopsis,0,0,821
19,Removal,2022,Turbinaria,5,0,821
19,Removal,2022,Halimeda,2,0,821
19,Removal,2023,Lobophora,27,23,821
19,Removal,2023,Asparagopsis,3,1,821
19,Removal,2023,Turbinaria,21,1,821
19,Removal,2023,Halimeda,3,0,821
20,Removal,2019,Lobophora,1,1,787
20,Removal,2019,Asparagopsis,0,0,787
20,Removal,2019,Turbinaria,0,0,787
20,Removal,2019,Halimeda,0,0,787
20,Removal,2020,Lobophora,118,69,787
20,Removal,2020,Asparagopsis,2,2,787
20,Removal,2020,Turbinaria,0,0,787
20,Removal,2020,Halimeda,0,0,787
20,Removal,2021,Lobophora,83,69,787
20,Removal,2021,Asparagopsis,4,2,787
20,Removal,2021,Turbinaria,1,0,787
20,Removal,2021,Halimeda,2,0,787
20,Removal,2022,Lobophora,25,18,787
20,Removal,2022,Asparagopsis,1,1,787
20,Removal,2022,Turbinaria,1,0,787
20,Removal,2022,Halimeda,19,3,787
20,Removal,2023,Lobophora,30,26,787
20,Removal,2023,Asparagopsis,43,13,787
20,Removal,2023,Turbinaria,26,2,787
20,Removal,2023,Halimeda,16,1,787
